MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367455780,2022-03-31T09:11:12,29.19160,-89.96436,15.6,225.2,511.0,ZACHARY TAYLOR,IMO8982589,WDF4780,60,13,35,7,,60,A
367455780,2022-03-31T09:12:18,29.18828,-89.96812,15.6,222.6,511.0,ZACHARY TAYLOR,IMO8982589,WDF4780,60,13,35,7,,60,A
368099290,2022-04-01T06:39:19,29.19099,-89.95438,10.3,223.7,511.0,GOL MOVER,IMO9184134,WDK8980,7,4,40,11,3.0,7,A
368099290,2022-04-01T06:40:39,29.18803,-89.95755,10.4,223.5,511.0,GOL MOVER,IMO9184134,WDK8980,7,4,40,11,3.0,7,A
368099290,2022-04-01T06:41:58,29.18514,-89.96068,10.8,224.3,511.0,GOL MOVER,IMO9184134,WDK8980,7,4,40,11,3.0,7,A
368099290,2022-04-01T06:43:09,29.18249,-89.96340,10.8,219.2,511.0,GOL MOVER,IMO9184134,WDK8980,7,4,40,11,3.0,7,A
368099290,2022-04-01T06:44:19,29.17982,-89.96597,10.6,220.0,511.0,GOL MOVER,IMO9184134,WDK8980,7,4,40,11,3.0,7,A
368099290,2022-04-01T06:45:28,29.17721,-89.96867,11.1,223.4,511.0,GOL MOVER,IMO9184134,WDK8980,7,4,40,11,3.0,7,A
367606390,2022-04-01T10:26:48,29.19017,-89.87365,10.3,163.2,160.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:27:58,29.18696,-89.87258,10.4,164.0,161.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:28:59,29.18418,-89.87166,10.3,163.9,161.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:30:08,29.18104,-89.87061,10.1,163.8,161.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:31:18,29.17784,-89.86959,10.2,165.6,164.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:32:28,29.17447,-89.86908,10.5,172.9,170.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:33:37,29.17117,-89.86862,10.3,172.9,170.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:34:57,29.16733,-89.86840,10.4,181.9,179.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:36:18,29.16333,-89.86858,10.6,181.7,177.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:37:28,29.15993,-89.86857,10.5,180.4,177.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:38:39,29.15649,-89.86862,10.3,180.5,177.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:39:47,29.15319,-89.86863,10.5,179.8,177.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:40:57,29.14978,-89.86868,10.4,181.4,177.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:41:58,29.14684,-89.86871,10.4,179.2,174.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:43:07,29.14348,-89.86861,10.4,178.4,175.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:44:27,29.13961,-89.86855,10.5,179.0,175.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:45:37,29.13624,-89.86846,10.5,179.6,175.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:46:57,29.13234,-89.86841,10.5,179.0,175.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:48:07,29.12888,-89.86834,10.5,178.9,174.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:49:09,29.12592,-89.86828,10.4,178.9,175.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:50:28,29.12204,-89.86824,10.5,179.7,175.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:51:37,29.11870,-89.86818,10.3,179.2,174.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:52:57,29.11487,-89.86814,10.4,180.3,175.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:54:09,29.11141,-89.86810,10.4,178.2,173.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:55:17,29.10809,-89.86801,10.4,178.6,173.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:56:48,29.10364,-89.86794,10.5,179.6,174.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:57:49,29.10070,-89.86790,10.5,179.5,173.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T10:58:58,29.09734,-89.86786,10.4,179.0,173.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T11:00:07,29.09394,-89.86781,10.5,179.3,173.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T11:01:17,29.09057,-89.86751,10.4,174.6,169.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T11:02:28,29.08715,-89.86716,10.3,175.6,169.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T11:03:38,29.08377,-89.86683,10.5,175.0,169.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
367606390,2022-04-01T11:04:48,29.08038,-89.86650,10.5,175.6,169.0,BADGER,IMO9089607,WDH3307,90,0,45,10,,0,A
